Filename,Label
20180105-095544-2.jpg,8
20171217-184328-2.jpg,8
20180112-073607-1.jpg,8
20180109-104433-1.jpg,8
20171220-101457-1.jpg,8
20180125-095759-1.jpg,8
20170410-123553-0.jpg,0
20171109-072611-1.jpg,5
20170714-115750-2.jpg,1
20180112-072025-2.jpg,8
20171113-144443-3.jpg,6
20171205-134638-2.jpg,8
20171219-105546-3.jpg,8
20171219-100442-2.jpg,8
20171220-101243-2.jpg,8
20171203-170655-3.jpg,8
20180109-080707-2.jpg,8
20180105-095234-2.jpg,8
20180112-073556-1.jpg,8
20171102-120225-2.jpg,2
20180109-100308-2.jpg,8
20180119-105225-2.jpg,8
20170706-112935-0.jpg,7
20170811-132411-1.jpg,0
20180109-094723-1.jpg,8
20171218-103550-2.jpg,8
20180112-100900-2.jpg,8
20171121-073514-1.jpg,6
20170906-140051-1.jpg,3
20180109-074852-2.jpg,8
20171025-081510-3.jpg,3
20180109-091327-1.jpg,8
20171113-060715-1.jpg,5
20171212-103226-3.jpg,8
20170913-122254-3.jpg,3
20170920-113018-2.jpg,2
20171220-095214-2.jpg,8
20171109-072135-3.jpg,5
20180105-092347-3.jpg,8
20170811-132947-2.jpg,0
20180105-101304-2.jpg,8
20171113-145308-3.jpg,6
20171102-120417-1.jpg,2
20171218-121347-2.jpg,8
20170811-133311-2.jpg,0
20180125-100017-1.jpg,8
20170210-134133-0.jpg,0
20180112-091942-1.jpg,8
20171212-100008-1.jpg,8
20180112-082753-1.jpg,8
20180322-103221-2.jpg,8
20171109-085430-3.jpg,5
20171220-084120-2.jpg,8
20171220-083200-3.jpg,8
20170913-104103-2.jpg,3
20170727-171107-1.jpg,4
20180109-095701-1.jpg,8
20180125-092900-2.jpg,8
20180109-070109-2.jpg,8
20170405-155147-0.jpg,0
20171201-115911-1.jpg,8
20171113-121009-2.jpg,6
20170718-100744-2.jpg,0
20170729-091924-2.jpg,4
20171219-095132-2.jpg,8
20171121-072742-1.jpg,6
20170920-190306-1.jpg,2
20180109-091922-1.jpg,8
